ds,yhat,yhat_lower,yhat_upper
2013-04-01,483.81101391411926,66.61219436223513,910.3339137189024
2013-07-01,446.40745660429553,61.49538215066968,859.800265042293
2013-10-01,551.6323156681875,140.5033086864872,984.0419939072723
2014-01-01,590.3602100415262,188.55034400491937,1011.0351475447898
2014-04-01,611.1984080615362,188.2559659007443,997.6609242295948
2014-07-01,591.8015128365829,180.8218610356732,998.9216735193665
2014-10-01,676.0251464652004,245.36132239402974,1029.6379972396187
2015-01-01,659.0527339503226,261.97596313496035,1070.0888128595732
2015-04-01,684.2533353630276,268.7142227872827,1093.4512392753181
2015-07-01,709.9347354243055,293.650962237129,1127.3944399687484
2015-10-01,750.220512394151,316.2760290698127,1172.2461218016153
2016-01-01,842.7531241918567,427.2808665834784,1267.6332235409411
2016-04-01,798.6669233965564,398.41287360212027,1210.776079575985
2016-07-01,918.7265903865093,538.5196893294639,1333.7773173998862
2016-10-01,1019.3757163491217,611.2785612618306,1416.0593900029307
2017-01-01,1217.3876370517303,817.8671844834191,1605.2607795760339
2017-04-01,1289.2537181549358,865.919569225175,1700.7062510497663
2017-07-01,1212.8273501732021,837.8341823978877,1613.843560275432
2017-10-01,1524.555806749089,1141.2988057980567,1919.9703959096237
2018-01-01,1656.3512544116704,1250.4543759952612,2035.9516386532475
2018-04-01,1678.758029894855,1288.6718188790112,2102.470312887234
2018-07-01,1496.6871122502625,1065.9393709075875,1848.5414844956508
2018-10-01,1574.4503974832967,1171.989713268855,1987.9004437445951
2019-01-01,1320.7125450626293,915.7425913684621,1758.316488781661
2019-04-01,1173.0917143590507,782.0751636623969,1595.2201045350896
2019-07-01,1258.1641516274312,856.0881177758353,1664.8593924672034
2019-10-01,1369.4752249778471,949.9999428392981,1781.2108470049461
2020-01-01,1578.1380676360445,1170.4321632621654,1990.0845280973583
2020-04-01,1572.61520492612,1159.732437015997,1967.395383081882
2020-07-01,1755.4358271025023,1349.3003045210558,2153.4346511151666
2020-10-01,2050.311013813701,1619.8434394930669,2488.021938715088
2021-01-01,2549.0054117427294,2149.2665592465964,2928.474364375709
2021-04-01,2786.488675759845,2383.716869761198,3183.0196027478705
2021-07-01,2690.7747643152316,2249.3164975333257,3073.9921516328786
2021-10-01,3065.992941736753,2680.4006665999736,3496.7515901328334
2022-01-01,3033.073050662508,2656.9196886978425,3429.5191787169997
2022-04-01,2913.5708958786663,2519.04768692223,3333.625978281119
2022-07-01,2620.0261155868266,2234.527283038613,3031.0069443710386
2022-10-01,2781.7724929129677,2432.0677466985035,3152.322977976506
2023-01-01,2523.943484779106,2131.9687346839837,2936.0910418506855
2023-04-01,2445.2210039254437,2040.3792562247997,2821.5874630548155
2023-07-01,2349.7997627975715,1975.099422283293,2732.4565808501075
2023-10-01,2301.0918226170115,1890.5840321470453,2724.2912594509357
2024-01-01,2396.209309482288,1992.1277224171329,2810.4758002503913
2024-03-31,2341.0098145329966,1958.0992506269379,2758.9867149537413
2024-06-30,1902.6985510307227,1458.4556775761057,2342.5459292361993
2024-09-30,2168.584284708529,1734.9162236035968,2630.617791842535
2024-12-31,2097.9946379976514,1623.21237785431,2610.2748037736333
2025-03-31,2063.98884771863,1530.4072123463636,2619.065141827722
2025-06-30,1774.5417766714768,1163.8862598419669,2422.127345493076
2025-09-30,1877.6936562537871,1120.852308451921,2620.8263001012974
2025-12-31,1658.792739834759,802.629893965413,2520.170596257508
2026-03-31,1644.7449318601373,649.8083435309137,2642.5837872299107
2026-06-30,1504.0966735771044,390.4925508639042,2577.9958889575096
2026-09-30,1461.221084282376,233.90573826280925,2757.846063409022
2026-12-31,1476.4872960624068,-27.248852856170497,2978.9229639858463
