Date,Total Revenue,Gaming,Data Center,Pro Viz,Automotive,OEM & Other
2024-01-01,22103.0,2857.0,18404.0,463.0,281.0,90.0
2023-10-01,18120.0,2856.0,14514.0,416.0,261.0,73.0
2023-07-01,13507.0,2486.0,10323.0,379.0,253.0,66.0
2023-04-01,7192.0,2240.0,4284.0,295.0,296.0,87.0
2023-01-01,6051.0,1831.0,3616.0,226.0,294.0,84.0
2022-10-01,5931.0,1567.0,3833.0,200.0,251.0,79.0
2022-07-01,6704.0,2042.0,3806.0,496.0,220.0,140.0
2022-04-01,8288.0,3620.0,3750.0,622.0,138.0,158.0
2022-01-01,7643.0,3420.0,3263.0,643.0,125.0,192.0
2021-10-01,7103.0,3221.0,2936.0,577.0,135.0,234.0
2021-07-01,6507.0,3061.0,2366.0,519.0,152.0,409.0
2021-04-01,5661.0,2760.0,2048.0,372.0,154.0,327.0
2021-01-01,5003.0,2495.0,1903.0,307.0,145.0,153.0
2020-10-01,4726.0,2272.0,1900.0,236.0,125.0,194.0
2020-07-01,3866.0,1654.0,1752.0,203.0,111.0,146.0
2020-04-01,3080.0,1339.0,1141.0,307.0,155.0,138.0
2020-01-01,3105.0,1491.0,968.0,331.0,163.0,152.0
2019-10-01,3014.0,1655.0,792.0,324.0,162.0,91.0
2019-07-01,2579.0,1313.0,655.0,281.0,208.0,122.0
2019-04-01,2220.0,1055.0,561.0,266.0,166.0,172.0
2019-01-01,2205.0,954.0,679.0,293.0,163.0,116.0
2018-10-01,3181.0,1764.0,701.0,311.0,172.0,233.0
2018-07-01,3123.0,1805.0,760.0,289.0,148.0,121.0
2018-04-01,3207.0,1536.0,792.0,231.0,158.0,490.0
2018-01-01,2911.0,1736.0,606.0,279.0,128.0,162.0
2017-10-01,2636.0,1561.0,501.0,239.0,133.0,202.0
2017-07-01,2230.0,1186.0,416.0,220.0,152.0,256.0
2017-04-01,1937.0,1027.0,409.0,197.0,145.0,159.0
2017-01-01,2173.0,1348.0,296.0,221.0,128.0,180.0
2016-10-01,2004.0,1244.0,240.0,207.0,127.0,186.0
2016-07-01,1428.0,781.0,151.0,209.0,119.0,168.0
2016-04-01,1305.0,680.0,143.0,198.0,113.0,175.0
2016-01-01,1401.0,954.0,97.0,181.0,93.0,76.0
2015-10-01,1305.0,761.0,82.0,200.0,79.0,183.0
2015-07-01,1153.0,587.0,80.0,203.0,71.0,212.0
2015-04-01,1151.0,535.0,80.0,197.0,77.0,262.0
2015-01-01,1251.0,761.0,84.0,177.0,86.0,143.0
2014-10-01,1225.0,764.0,87.0,190.0,78.0,106.0
2014-07-01,1123.0,663.0,77.0,182.0,69.0,132.0
2014-04-01,1083.0,570.0,71.0,190.0,66.0,186.0
2014-01-01,1144.0,583.0,45.0,204.0,50.0,262.0
2013-10-01,1054.0,550.0,38.0,205.0,47.0,214.0
2013-07-01,977.0,491.0,33.0,185.0,44.0,224.0
2013-04-01,955.0,438.0,28.0,185.0,40.0,264.0
